Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000182253.15,4654,4777,5680,1255,3223,3979
ENSG00000261054.1,27,22,22,5,27,21
ENSG00000103852.13,316,248,396,123,281,387
ENSG00000261616.1,122,118,235,29,94,246
ENSG00000259921.1,64,47,84,28,99,125
ENSG00000168904.15,171,146,214,61,225,227
ENSG00000259706.1,46,42,49,23,64,88
ENSG00000259228.1,30,15,28,8,20,48
ENSG00000259257.1,9,17,16,6,23,31
ENSG00000259590.1,6,1,9,1,9,7
ENSG00000259760.1,12,7,9,4,27,15
ENSG00000274294.1,15,19,19,10,22,46
ENSG00000259341.2,299,296,293,135,421,595
ENSG00000286893.1,64,47,46,15,83,103
ENSG00000279846.1,11,13,23,3,23,39
ENSG00000241562.2,6,15,10,7,20,35
ENSG00000068305.19,909,623,1006,216,814,772
ENSG00000201724.1,9,9,4,5,15,26
ENSG00000183060.16,216,175,209,66,219,276
ENSG00000290767.1,58,37,45,21,54,96
ENSG00000259655.1,0,0,0,0,0,0
ENSG00000241588.3,0,0,0,0,0,0
ENSG00000182397.15,4,1,1,2,3,7
ENSG00000259363.6,111,93,110,44,133,194
ENSG00000254744.3,11,6,8,2,17,26
ENSG00000140470.15,350,258,325,154,432,609
ENSG00000259219.1,47,47,59,29,60,110
ENSG00000252957.1,2,4,5,1,5,11
ENSG00000259356.1,45,60,38,19,43,88
ENSG00000189419.8,114,80,106,45,110,181
ENSG00000259430.2,71,54,46,29,78,81
ENSG00000154227.14,135,98,131,46,200,250
ENSG00000270127.2,36,34,47,7,46,62
ENSG00000251819.1,5,2,4,2,1,20
ENSG00000259205.2,44,41,26,14,40,55
ENSG00000259540.1,19,10,19,0,17,29
ENSG00000140471.17,129,88,117,39,112,182
ENSG00000200095.1,5,1,0,1,2,8
ENSG00000183475.13,160,120,142,37,137,225
ENSG00000212306.1,5,6,2,2,7,8
ENSG00000259381.2,29,18,29,13,33,54
ENSG00000259579.1,19,18,19,7,27,52
ENSG00000279588.2,114,95,87,33,145,179
ENSG00000259586.1,6,8,4,1,8,10
ENSG00000232386.9,20,27,13,13,27,40
ENSG00000272808.4,178,148,153,87,224,314
ENSG00000259604.5,1,0,4,1,5,5
ENSG00000272639.1,0,0,0,0,0,0
ENSG00000184254.17,184,124,143,70,226,256
ENSG00000278456.1,9,14,17,5,34,40
ENSG00000259583.4,143,126,136,64,219,279
ENSG00000154237.13,618,520,602,263,886,1056
ENSG00000259376.1,8,9,21,18,39,40
ENSG00000259755.1,18,18,21,3,30,45
ENSG00000287892.1,32,34,35,22,52,68
ENSG00000259365.1,29,26,20,7,29,28
ENSG00000259182.5,28,17,31,10,27,57
ENSG00000131873.7,169,98,117,55,173,207
ENSG00000131871.15,318,194,253,59,137,218
ENSG00000131876.18,113,88,113,26,110,191
ENSG00000140479.18,332,277,294,141,431,477
ENSG00000259172.1,41,38,32,17,58,51
ENSG00000279970.1,49,30,37,7,41,54
ENSG00000259764.1,13,8,10,3,15,30
ENSG00000274139.1,12,12,10,5,28,30
ENSG00000289271.2,27,18,22,17,42,41
ENSG00000277210.3,48,54,62,26,87,113
ENSG00000282793.1,25,16,28,6,22,28
ENSG00000259464.2,22,12,12,14,24,48
ENSG00000259695.2,11,14,12,5,18,28
ENSG00000286733.1,199,165,204,84,207,324
ENSG00000184277.13,181,152,181,46,138,171
ENSG00000252614.1,7,4,7,4,7,16
ENSG00000289028.2,33,37,31,8,40,52
ENSG00000185418.16,777,547,602,105,376,392
ENSG00000259658.6,7,4,9,3,7,14
ENSG00000290760.1,32,17,22,11,31,50
ENSG00000291225.1,33,37,29,12,62,69
ENSG00000259660.3,1,6,1,1,4,5
ENSG00000259236.1,90,112,89,47,146,195
ENSG00000240927.3,5,3,2,0,2,0
ENSG00000184140.6,23,13,20,3,20,31
ENSG00000182854.8,28,20,29,6,43,61
ENSG00000232459.1,23,15,20,8,15,37
ENSG00000291191.1,5,15,21,5,12,34
ENSG00000214344.5,0,0,0,0,0,0
ENSG00000257109.3,10,5,7,3,10,31
ENSG00000259454.1,8,6,10,7,19,29
ENSG00000259646.1,4,4,7,0,4,9
ENSG00000177693.5,10,11,5,5,12,41
ENSG00000290822.1,2,0,2,0,6,11
ENSG00000183909.7,0,0,0,0,0,0
ENSG00000275771.1,7,3,5,5,6,16
ENSG00000248893.3,14,22,20,8,10,35
ENSG00000259553.6,11,10,13,11,13,29
ENSG00000284557.1,0,0,0,0,0,0
ENSG00000290823.1,43,24,23,14,30,51
ENSG00000185596.17,0,0,0,0,0,0
ENSG00000275449.1,3,4,2,1,2,3
ENSG00000290824.1,10,6,10,7,26,40
ENSG00000248472.9,1,1,0,0,5,1
ENSG00000290355.1,29,7,2,5,16,38
ENSG00000233614.7,1,3,0,3,10,14
ENSG00000234769.7,45,28,15,15,88,67
ENSG00000278739.1,2,2,1,0,8,4
ENSG00000260803.1,10,6,10,8,10,23
ENSG00000231439.4,32,28,1,14,44,47
ENSG00000226942.2,98,78,80,48,129,166
ENSG00000161980.6,95,83,77,36,66,93
ENSG00000161981.11,242,178,247,54,124,172
ENSG00000007384.15,236,257,207,142,335,421
ENSG00000278995.1,16,21,10,7,24,26
ENSG00000103152.12,85,62,64,32,71,115
ENSG00000103148.17,263,228,233,117,268,435
ENSG00000269482.1,20,17,21,5,25,24
ENSG00000228779.1,25,26,23,9,34,26
ENSG00000130656.6,31,40,21,17,47,52
ENSG00000206177.7,34,21,23,14,44,66
ENSG00000206178.2,11,21,6,5,12,22
ENSG00000225323.1,29,26,29,9,53,53
ENSG00000188536.13,21,15,15,11,45,38
ENSG00000290038.1,0,0,0,0,0,0
ENSG00000206172.8,46,32,52,41,51,43
ENSG00000290010.1,0,0,0,0,0,0
ENSG00000207243.1,3,3,4,5,8,15
ENSG00000086506.3,21,31,15,6,50,50
ENSG00000268836.1,4,8,9,5,8,16
ENSG00000007392.17,321,249,268,92,339,348
ENSG00000206168.1,22,16,21,6,34,32
ENSG00000167930.17,567,391,528,216,406,561
ENSG00000076344.16,121,148,120,82,203,297
ENSG00000286901.1,0,0,0,0,0,0
ENSG00000242173.10,34,40,41,23,54,104
ENSG00000185615.16,72,85,65,53,153,203
ENSG00000103126.15,256,262,277,124,312,467
ENSG00000086504.18,245,219,185,53,180,231
ENSG00000129925.11,214,196,198,88,257,432
ENSG00000236829.9,89,57,108,33,92,105
ENSG00000103202.13,158,173,141,53,152,209
ENSG00000242612.7,169,125,129,68,155,273
ENSG00000276984.1,18,11,8,6,26,22
ENSG00000090565.17,646,353,470,193,511,684
ENSG00000201034.1,17,9,9,7,17,26
ENSG00000230428.1,23,22,22,4,27,24
ENSG00000277142.1,87,78,82,45,132,141
ENSG00000103326.12,222,208,172,97,243,421
ENSG00000266124.1,9,11,4,2,18,19
ENSG00000266235.1,17,14,7,2,24,25
ENSG00000261691.1,0,0,0,0,0,0
ENSG00000161992.6,91,120,81,35,128,222
ENSG00000007541.17,154,184,141,77,223,361
ENSG00000257108.2,37,50,22,22,50,84
ENSG00000282907.1,12,6,9,4,19,24
ENSG00000197562.10,208,194,201,79,260,401
ENSG00000127578.7,94,78,69,42,135,140
ENSG00000130731.16,83,104,84,44,100,159
ENSG00000172366.20,104,98,114,36,77,114
ENSG00000228201.1,16,20,8,11,24,32
ENSG00000161996.19,307,351,302,166,508,775
ENSG00000262528.2,22,33,24,14,38,35
ENSG00000140983.15,275,241,216,115,255,511
ENSG00000103269.14,80,77,71,35,98,183
ENSG00000260394.2,31,24,14,14,44,58
ENSG00000279441.1,0,0,0,0,0,0
ENSG00000103266.11,180,156,180,34,103,132
ENSG00000161999.13,47,64,44,35,69,80
ENSG00000127580.17,251,223,197,115,292,449
ENSG00000261659.2,0,3,0,2,2,7
ENSG00000127585.13,110,124,109,47,210,268
ENSG00000279255.2,74,84,57,31,94,175
ENSG00000259840.1,16,12,13,10,40,32
ENSG00000103260.9,147,113,120,71,154,253
ENSG00000103254.10,58,58,53,19,85,87
ENSG00000162004.19,82,94,76,57,197,247
ENSG00000103253.19,77,83,57,32,118,169
ENSG00000103245.14,268,234,223,115,295,461
ENSG00000102854.16,158,131,132,105,208,403
ENSG00000279136.1,6,2,10,4,16,6
ENSG00000162006.10,132,161,117,70,190,283
ENSG00000207579.1,0,0,0,0,0,0
ENSG00000007376.8,89,134,95,58,187,251
ENSG00000127586.17,206,249,190,94,315,528
ENSG00000127588.5,46,47,36,24,47,110
ENSG00000287855.1,61,55,57,28,83,100
ENSG00000275438.1,30,22,27,20,39,48
ENSG00000103227.19,197,215,179,110,256,436
ENSG00000260022.1,19,13,15,7,21,32
ENSG00000260316.2,110,130,108,60,186,269
ENSG00000260439.1,49,51,51,24,64,105
ENSG00000276931.1,8,12,19,12,29,38
ENSG00000260807.7,119,154,98,56,218,279
ENSG00000005513.10,84,96,70,36,159,172
ENSG00000260496.3,104,96,67,42,131,192
ENSG00000261713.7,63,50,62,29,94,142
ENSG00000261720.1,0,0,0,0,0,0
ENSG00000162009.9,102,101,95,51,154,201
ENSG00000184471.9,134,148,125,50,185,283
ENSG00000260702.3,46,58,46,33,68,125
ENSG00000260532.1,45,55,40,27,57,127
ENSG00000273551.1,17,26,13,10,50,38
ENSG00000196557.13,452,452,426,207,632,1065
ENSG00000260403.1,33,31,34,7,48,68
ENSG00000259910.1,29,41,29,21,47,68
ENSG00000261294.1,7,10,10,6,9,32
ENSG00000116176.7,50,55,43,36,94,144
ENSG00000277010.1,11,22,10,11,28,43
ENSG00000197253.13,60,58,59,24,82,118
ENSG00000172236.18,50,47,45,34,67,124
ENSG00000095917.14,61,83,66,31,86,142
ENSG00000260182.1,13,15,16,6,26,31
ENSG00000290756.1,42,28,26,26,58,103
ENSG00000196364.10,6,4,3,2,14,16
ENSG00000261564.1,22,38,22,16,32,44
ENSG00000260991.2,22,21,12,9,54,45
ENSG00000260284.1,69,61,50,31,86,151
ENSG00000260710.3,61,35,52,27,68,99
ENSG00000274751.1,94,74,77,24,82,111
ENSG00000103275.21,299,277,233,112,283,422
ENSG00000261505.1,104,89,112,45,134,176
ENSG00000219274.1,23,13,19,4,29,24
ENSG00000007516.15,283,307,254,161,449,758
ENSG00000007520.4,127,100,110,36,88,112
ENSG00000090581.11,162,123,131,41,122,150
ENSG00000260425.1,21,15,18,4,25,20
ENSG00000059145.19,362,351,352,178,437,595
ENSG00000260132.1,26,19,25,9,23,31
ENSG00000174109.5,52,79,93,30,72,99
ENSG00000284395.2,87,68,59,38,102,128
ENSG00000197599.13,136,150,129,70,188,300
ENSG00000279930.1,48,46,37,24,75,133
ENSG00000103249.19,356,283,327,143,431,659
ENSG00000261641.2,0,0,0,0,0,0
ENSG00000260051.1,26,27,16,13,51,51
ENSG00000261430.1,26,25,23,12,36,48
ENSG00000219027.2,11,18,14,3,19,47
ENSG00000251692.8,61,72,69,60,102,162
ENSG00000100726.15,299,315,256,169,474,522
ENSG00000187535.14,397,405,382,191,507,742
ENSG00000260646.1,22,17,17,10,23,18
ENSG00000131634.14,135,124,134,60,163,200
ENSG00000280062.1,79,81,86,34,137,176
ENSG00000280231.1,21,15,23,16,39,37
ENSG00000280327.1,56,44,62,18,75,84
ENSG00000260954.1,21,28,21,8,23,23
ENSG00000260989.1,28,22,22,20,35,48
ENSG00000007545.16,147,104,115,57,145,220
ENSG00000226890.1,4,11,8,4,14,21
ENSG00000261732.1,29,14,16,7,21,31
ENSG00000206053.13,218,166,179,87,253,301
ENSG00000278987.1,76,48,57,20,77,113
ENSG00000138834.15,570,467,521,233,627,1070
ENSG00000275092.1,19,11,13,3,23,28
ENSG00000261399.2,31,29,24,15,32,56
ENSG00000265820.1,17,15,23,12,22,22
ENSG00000261207.1,30,42,20,16,44,64
ENSG00000103024.8,73,58,101,30,82,146
ENSG00000074071.15,93,85,101,16,59,90
ENSG00000197774.14,198,185,164,80,267,432
ENSG00000162032.16,21,37,12,4,31,21
ENSG00000095906.17,122,136,149,75,157,259
ENSG00000099769.6,87,97,92,41,143,241
ENSG00000063854.13,609,578,658,163,374,523
ENSG00000180185.13,137,134,154,56,129,123
ENSG00000162039.18,15,13,11,4,26,19
ENSG00000289722.1,2,0,0,0,3,7
ENSG00000260541.1,4,3,5,2,8,6
ENSG00000281219.2,20,16,10,5,19,37
ENSG00000259947.1,23,28,22,11,28,25
ENSG00000162040.7,52,78,44,21,72,93
ENSG00000198736.13,225,181,191,77,153,278
ENSG00000140986.8,2729,2136,3025,502,875,1716
ENSG00000140990.15,1087,852,1128,108,295,221
ENSG00000140988.16,1094,1154,1193,178,454,1125
ENSG00000206811.1,7,2,3,0,4,4
ENSG00000207405.1,2,2,5,1,5,5
ENSG00000255513.1,29,21,24,9,21,41
ENSG00000255198.6,15,10,23,10,22,42
ENSG00000273587.1,0,0,0,0,0,0
ENSG00000179580.10,42,43,50,25,85,142
ENSG00000277602.1,16,14,12,15,37,40
ENSG00000183751.16,287,282,234,157,382,566
ENSG00000196408.12,0,0,0,0,0,0
ENSG00000127554.13,64,61,31,29,65,95
ENSG00000261790.2,33,41,40,27,59,104
ENSG00000127561.16,96,85,82,52,139,211
ENSG00000260107.1,0,0,0,0,0,0
ENSG00000167962.15,199,187,178,78,238,376
ENSG00000183971.10,34,52,27,18,40,96
ENSG00000265386.2,9,13,10,1,20,39
ENSG00000065054.14,284,261,355,90,210,355
ENSG00000065057.9,86,89,82,47,125,212
ENSG00000103197.19,776,680,680,361,932,1282
ENSG00000008710.20,1228,986,1205,646,1080,2064
ENSG00000221656.1,0,0,0,0,0,0
ENSG00000259933.6,17,12,9,7,32,26
ENSG00000261123.1,19,10,8,5,26,15
ENSG00000284008.1,0,0,0,0,0,0
ENSG00000261240.1,6,4,12,5,10,13
ENSG00000260447.1,10,11,7,8,23,14
ENSG00000200059.1,13,8,10,4,21,13
ENSG00000265867.1,3,3,7,2,7,7
ENSG00000264397.1,4,2,2,1,9,3
ENSG00000167964.13,87,138,105,61,150,219
ENSG00000260260.3,21,24,6,7,33,36
ENSG00000206630.1,0,0,0,0,0,0
ENSG00000281010.1,0,0,0,0,0,0
ENSG00000131653.14,254,232,231,130,312,589
ENSG00000167971.16,240,239,181,106,345,501
ENSG00000167965.18,161,127,129,54,211,227
ENSG00000182685.8,62,59,44,36,78,123
ENSG00000184207.9,197,142,152,53,127,176
ENSG00000261532.1,0,0,0,0,0,0
ENSG00000167967.16,191,243,194,114,303,379
ENSG00000259780.3,1,2,0,2,3,2
ENSG00000167968.13,72,55,54,19,120,118
ENSG00000167969.13,378,350,322,79,203,359
ENSG00000261663.1,29,16,29,3,29,14
ENSG00000205937.12,550,434,581,142,407,508
ENSG00000260778.5,55,64,42,29,80,103
ENSG00000266643.1,24,9,11,3,9,13
ENSG00000284346.1,0,0,0,0,0,0
ENSG00000264004.1,12,15,8,10,14,23
ENSG00000167972.14,483,450,458,234,662,928
ENSG00000243445.1,20,6,12,13,19,34
ENSG00000238098.9,200,180,202,96,291,411
ENSG00000162063.13,160,178,164,95,254,320
ENSG00000285970.1,16,17,18,8,34,58
ENSG00000283180.1,3,1,4,1,1,5
ENSG00000260095.1,5,8,9,12,16,27
ENSG00000260874.5,27,20,31,23,59,82
ENSG00000162062.15,89,81,77,65,153,184
ENSG00000274805.1,0,4,1,1,5,6
ENSG00000259895.1,91,74,59,33,127,153
ENSG00000162068.2,114,116,87,55,133,206
ENSG00000162065.14,244,221,219,104,281,409
ENSG00000260293.2,135,113,89,65,246,230
ENSG00000260272.1,0,0,0,0,0,0
ENSG00000185883.12,24,22,38,9,29,51
ENSG00000259784.1,0,0,0,0,0,0
ENSG00000279520.1,41,27,37,17,53,56
ENSG00000162066.16,82,97,80,45,145,164
ENSG00000205923.3,0,0,0,0,0,0
ENSG00000266232.1,19,11,13,7,16,28
ENSG00000140992.19,320,243,335,112,294,425
ENSG00000261613.2,3,10,4,7,5,10
ENSG00000261288.1,0,0,0,0,0,0
ENSG00000269937.1,36,60,39,29,26,67
ENSG00000261140.1,6,6,7,0,6,9
ENSG00000260436.1,0,0,0,0,0,0
ENSG00000279568.1,57,32,66,44,50,42
ENSG00000280402.1,31,15,39,3,8,27
ENSG00000279162.1,104,52,61,17,113,100
ENSG00000261093.1,0,0,0,0,0,0
ENSG00000291228.1,50,35,50,10,48,79
ENSG00000215154.8,0,0,0,0,0,0
ENSG00000290728.1,25,8,28,11,23,68
ENSG00000205918.10,0,0,0,0,0,0
ENSG00000279057.1,16,17,11,5,25,61
ENSG00000260176.1,0,0,0,0,0,1
ENSG00000260565.9,378,222,320,111,405,649
ENSG00000167977.9,117,135,108,54,179,262
ENSG00000279901.1,33,24,22,7,21,53
ENSG00000172382.10,85,100,79,47,100,155
ENSG00000205913.7,293,271,213,113,381,556
ENSG00000167978.19,4417,2390,3260,754,2704,2886
ENSG00000103363.16,397,337,376,128,315,410
ENSG00000276791.1,108,104,102,57,145,188
ENSG00000103355.14,122,95,102,38,147,204
ENSG00000221719.1,6,5,7,3,10,4
ENSG00000215148.11,53,59,51,45,84,138
ENSG00000007038.11,96,76,63,55,104,200
ENSG00000262154.1,5,10,6,1,5,21
ENSG00000162078.12,102,85,98,48,108,197
ENSG00000291300.1,70,61,50,30,110,117
ENSG00000172460.20,0,0,0,0,0,0
ENSG00000005001.10,83,70,71,43,83,154
ENSG00000263325.1,18,14,13,17,24,34
ENSG00000263280.4,34,16,20,7,33,44
ENSG00000162076.13,93,72,65,19,78,110
ENSG00000289222.2,61,38,50,19,66,124
ENSG00000059122.17,374,264,323,157,396,553
ENSG00000262959.2,21,17,15,4,32,22
ENSG00000262482.1,27,15,34,16,39,62
ENSG00000131650.15,119,106,92,45,168,234
ENSG00000127564.17,124,123,94,66,171,240
ENSG00000162073.14,132,108,112,61,135,200
ENSG00000274367.1,13,5,10,3,14,12
ENSG00000262152.7,205,249,197,113,340,492
ENSG00000262362.1,16,6,16,5,25,32
ENSG00000289281.1,19,14,19,3,34,11
ENSG00000272079.2,40,41,44,22,49,61
ENSG00000213937.4,52,61,52,36,78,115
ENSG00000184697.7,48,44,42,29,98,125
ENSG00000006327.14,68,73,64,43,109,169
ENSG00000103145.11,79,83,102,29,86,107
ENSG00000131652.14,84,82,74,45,103,159
ENSG00000162069.16,143,149,117,87,216,284
ENSG00000205890.3,100,75,81,34,101,168
ENSG00000261971.9,161,121,116,66,174,202
ENSG00000008516.18,181,169,155,61,214,286
ENSG00000008517.19,146,138,327,68,301,198
ENSG00000252561.1,0,0,0,0,0,0
ENSG00000262370.7,79,68,47,35,108,115
ENSG00000200204.1,10,8,8,3,8,26
ENSG00000130182.8,146,114,112,60,177,210
ENSG00000263072.10,360,309,418,164,466,642
ENSG00000263011.3,50,33,57,18,49,77
ENSG00000122386.11,100,87,85,55,130,176
ENSG00000085644.15,182,210,197,81,231,317
ENSG00000228146.8,112,137,90,72,157,251
ENSG00000261889.1,21,12,18,5,25,30
ENSG00000262521.1,26,18,16,7,44,38
ENSG00000168124.3,78,70,79,36,129,164
ENSG00000203581.7,20,24,31,7,28,42
ENSG00000010539.12,112,78,86,35,119,186
ENSG00000103313.14,174,136,139,67,193,317
ENSG00000281005.2,121,80,109,42,139,162
ENSG00000290183.1,0,0,0,0,0,0
ENSG00000279330.1,74,53,46,16,74,95
ENSG00000006194.11,200,184,156,71,222,295
ENSG00000279031.1,0,1,0,0,2,1
ENSG00000140993.11,34,35,37,11,49,38
ENSG00000162086.16,140,127,141,41,164,189
ENSG00000262899.1,13,11,8,2,15,20
ENSG00000262316.1,6,14,12,4,26,28
ENSG00000168158.4,40,24,34,18,38,85
ENSG00000285329.1,14,13,5,7,13,20
ENSG00000262118.1,29,23,30,16,29,74
ENSG00000263177.1,24,8,15,6,24,35
ENSG00000140987.21,131,113,119,47,178,229
ENSG00000103343.13,87,61,93,34,106,124
ENSG00000167981.7,110,95,128,24,111,192
ENSG00000122390.19,121,132,152,71,175,239
ENSG00000263212.2,0,0,0,0,0,0
ENSG00000273776.1,0,0,0,0,0,0
ENSG00000215131.11,68,55,68,33,62,142
ENSG00000240311.1,20,22,19,12,22,40
ENSG00000103351.13,266,180,176,68,230,266
ENSG00000278942.1,0,0,0,0,0,0
ENSG00000167984.18,358,300,312,167,452,518
ENSG00000262312.2,88,51,63,35,108,116
ENSG00000261938.1,0,0,0,0,0,0
ENSG00000188827.12,353,310,313,143,442,585
ENSG00000213918.11,303,260,244,126,371,498
ENSG00000263235.1,31,19,25,12,23,38
ENSG00000126602.11,771,500,641,185,431,596
ENSG00000276754.1,26,15,27,6,42,32
ENSG00000005339.15,930,744,1022,301,1070,1011
ENSG00000262516.1,9,11,13,6,15,16
ENSG00000262185.3,67,44,61,12,82,93
ENSG00000162104.10,1160,848,831,297,726,866
ENSG00000263159.1,15,9,10,4,14,13
ENSG00000262471.1,18,12,7,2,9,23
ENSG00000263105.1,35,12,11,12,35,68
ENSG00000185739.13,3891,2620,3415,810,1548,2667
ENSG00000262468.8,131,118,119,28,134,177
ENSG00000090447.12,116,90,99,41,155,208
ENSG00000288935.1,30,38,27,6,57,40
ENSG00000126603.9,118,146,144,104,226,336
ENSG00000262686.1,42,39,54,18,49,92
ENSG00000217930.8,61,60,50,36,83,95
ENSG00000262712.1,36,16,39,12,21,52
ENSG00000103426.12,0,0,0,0,0,0
ENSG00000280063.1,66,45,65,24,95,79
ENSG00000262246.6,49,38,36,10,53,65
ENSG00000168140.5,93,131,76,53,135,204
ENSG00000103423.14,635,426,529,107,325,490
ENSG00000277170.1,19,7,14,3,15,12
ENSG00000277440.1,16,16,18,9,31,23
ENSG00000275515.1,13,11,3,2,9,26
ENSG00000153406.14,112,99,98,42,141,172
ENSG00000103415.12,200,126,148,44,139,224
ENSG00000089486.17,202,198,209,100,220,330
ENSG00000278434.1,56,38,47,18,56,83
ENSG00000205832.8,233,202,217,131,293,412
ENSG00000261789.1,31,17,27,7,31,31
ENSG00000261612.1,11,17,9,5,13,16
ENSG00000153443.13,158,160,128,67,188,299
ENSG00000102858.13,471,409,430,216,489,720
ENSG00000263955.2,0,0,0,0,0,0
ENSG00000261442.1,64,49,58,30,86,118
ENSG00000278700.1,13,8,16,7,14,20
ENSG00000276641.1,12,5,5,5,6,11
ENSG00000168101.15,109,118,90,42,115,169
ENSG00000168096.15,172,182,210,86,266,453
ENSG00000266994.1,27,14,18,10,20,40
ENSG00000166246.14,155,98,98,43,186,186
ENSG00000103199.14,288,230,228,108,277,428
ENSG00000276096.1,3,0,1,0,3,0
ENSG00000140623.14,68,50,75,21,75,123
ENSG00000285952.1,44,51,22,33,74,89
ENSG00000267795.6,48,33,26,26,66,103
ENSG00000267077.1,7,7,8,3,12,11
ENSG00000067836.13,86,101,88,31,64,129
ENSG00000140632.17,586,424,533,132,451,639
ENSG00000275056.1,16,17,36,13,33,51
ENSG00000118900.15,496,433,461,221,579,707
ENSG00000118898.16,798,450,563,221,614,786
ENSG00000103184.12,283,249,291,106,378,479
ENSG00000267072.3,7,9,2,4,4,13
ENSG00000103174.13,160,130,120,61,181,262
ENSG00000033011.14,243,224,187,102,249,318
ENSG00000153446.16,133,112,99,44,178,225
ENSG00000260882.1,11,4,13,6,19,31
ENSG00000118894.15,99,88,98,46,106,204
ENSG00000267070.1,57,40,36,19,53,67
ENSG00000285567.2,71,61,61,27,74,130
ENSG00000273963.1,50,49,37,17,61,90
ENSG00000260431.2,20,9,12,2,17,12
ENSG00000261811.2,24,19,24,10,25,58
ENSG00000078328.23,1231,616,921,308,906,1219
ENSG00000260817.2,4,5,5,3,9,8
ENSG00000242278.1,22,14,10,7,22,25
ENSG00000267182.1,11,13,14,5,22,17
ENSG00000261007.2,18,12,9,6,19,26
ENSG00000260338.2,100,99,88,35,130,178
ENSG00000273648.1,4,4,7,5,4,13
ENSG00000270440.1,7,11,20,7,25,32
ENSG00000280000.1,13,6,23,3,21,22
ENSG00000257180.1,17,22,23,3,26,47
ENSG00000286635.1,47,28,40,12,46,51
ENSG00000260835.1,16,11,17,9,24,44
ENSG00000278975.1,38,42,25,17,62,73
ENSG00000259963.1,3,2,5,3,5,6
ENSG00000252080.1,3,1,3,2,2,5
ENSG00000200869.1,11,5,14,2,7,17
ENSG00000212189.1,7,0,5,1,5,5
ENSG00000289107.1,36,36,45,16,51,78
ENSG00000240419.1,7,5,3,2,12,13
ENSG00000287340.2,22,9,27,11,22,48
ENSG00000283584.1,5,7,8,1,9,11
ENSG00000261198.1,22,19,16,8,23,38
ENSG00000252138.1,5,2,1,0,6,0
ENSG00000260289.2,57,52,54,23,94,129
ENSG00000260003.1,31,25,35,12,38,60
ENSG00000261319.1,15,19,18,15,32,48
ENSG00000260058.1,14,11,14,9,28,48
ENSG00000259819.1,9,8,10,5,10,18
ENSG00000260379.1,15,17,15,9,29,33
ENSG00000261066.1,16,7,10,3,14,28
ENSG00000232258.7,98,99,81,25,96,185
ENSG00000287522.1,21,26,19,5,27,34
ENSG00000067365.15,282,227,229,120,246,395
ENSG00000279357.1,7,2,4,1,3,11
ENSG00000183044.12,251,177,231,108,345,429
ENSG00000243954.3,11,12,6,2,6,14
ENSG00000238417.1,9,0,5,0,8,5
ENSG00000260764.1,12,9,7,4,15,21
ENSG00000184857.8,87,90,105,27,72,117
ENSG00000140650.13,151,128,140,63,180,244
ENSG00000260350.1,0,2,3,1,3,1
ENSG00000153048.11,254,209,235,114,234,369
ENSG00000261481.1,24,20,12,12,31,39
ENSG00000283516.2,88,74,67,31,74,113
ENSG00000187555.17,1464,900,1206,298,926,999
ENSG00000260979.1,24,18,33,8,21,45
ENSG00000261392.1,11,12,11,5,22,17
ENSG00000182831.12,472,358,646,191,383,419
ENSG00000263244.2,729,452,815,235,481,700
ENSG00000260349.1,0,0,0,0,0,0
ENSG00000220793.5,22,11,14,1,17,28
ENSG00000261617.2,111,93,95,44,165,186
ENSG00000260071.2,86,67,77,35,134,158
ENSG00000261397.1,37,35,25,7,42,50
ENSG00000261075.1,26,29,25,18,29,61
ENSG00000283003.4,50,31,41,23,62,95
ENSG00000200468.1,4,5,4,3,7,8
ENSG00000252927.1,7,8,11,4,16,21
ENSG00000260362.1,23,19,23,18,41,41
ENSG00000183454.18,334,311,359,143,486,653
ENSG00000283221.1,15,9,7,2,16,20
ENSG00000287830.1,40,39,46,21,67,74
ENSG00000261810.1,19,19,20,6,28,42
ENSG00000261647.1,53,42,62,24,89,105
ENSG00000285543.1,42,43,43,20,67,80
ENSG00000266439.2,4,2,8,3,9,9
ENSG00000166669.14,99,61,99,24,98,185
ENSG00000260756.1,17,31,22,7,28,27
ENSG00000289023.1,12,8,4,3,17,21
ENSG00000279662.1,93,67,92,33,130,115
ENSG00000199482.1,10,6,5,3,10,9
ENSG00000260468.1,24,27,21,5,38,24
ENSG00000213853.10,239,189,248,84,236,321
ENSG00000256013.1,0,0,0,0,0,0
ENSG00000260310.1,10,19,17,5,32,46
ENSG00000153060.8,88,80,59,37,86,166
ENSG00000263279.1,33,18,36,8,32,73
ENSG00000263241.1,17,12,13,9,21,32
ENSG00000262107.1,1,7,0,1,3,5
ENSG00000261904.1,12,24,9,4,23,37
ENSG00000262322.1,13,11,10,5,21,34
ENSG00000262259.1,2,3,1,0,0,1
ENSG00000263196.1,4,2,0,3,1,6
ENSG00000262158.1,8,9,15,2,14,18
ENSG00000262381.1,10,9,5,3,6,31
ENSG00000289073.1,4,2,10,3,13,24
ENSG00000103274.11,135,124,129,42,101,144
ENSG00000166676.17,162,131,89,60,172,246
ENSG00000262488.1,41,38,37,11,48,53
ENSG00000262151.1,25,13,21,8,28,40
ENSG00000179583.21,545,461,549,236,698,918
ENSG00000182108.11,216,162,238,82,265,295
ENSG00000280153.1,0,0,0,0,0,0
ENSG00000038532.17,503,367,456,191,509,693
ENSG00000229917.2,31,18,19,13,23,44
