Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000235829.1,12,9,13,4,22,14
ENSG00000287756.1,46,38,38,23,53,74
ENSG00000175147.13,204,193,206,88,234,306
ENSG00000171729.14,93,68,92,27,124,122
ENSG00000204464.7,33,26,26,17,30,33
ENSG00000215720.4,28,23,24,4,32,41
ENSG00000278480.1,31,24,37,17,26,69
ENSG00000142621.21,299,270,305,142,443,546
ENSG00000233485.1,64,48,53,30,82,83
ENSG00000236045.1,40,18,30,9,35,51
ENSG00000228140.2,119,114,112,36,173,191
ENSG00000142634.13,143,150,151,58,156,220
ENSG00000162438.12,143,129,140,65,178,236
ENSG00000142615.8,84,84,85,35,90,155
ENSG00000215704.10,77,64,64,31,94,111
ENSG00000132906.18,222,182,245,74,264,337
ENSG00000116138.13,497,311,475,122,466,515
ENSG00000251866.1,13,9,6,6,11,13
ENSG00000272510.1,10,3,9,0,5,14
ENSG00000116771.6,141,172,284,48,195,183
ENSG00000237301.1,92,71,52,21,104,119
ENSG00000235084.3,19,21,13,4,18,26
ENSG00000252417.1,4,3,6,2,3,2
ENSG00000236500.1,18,17,9,4,27,16
ENSG00000197312.13,792,659,929,312,894,876
ENSG00000215695.2,9,4,4,1,11,7
ENSG00000271742.1,8,12,12,5,16,19
ENSG00000116786.13,890,815,846,280,685,940
ENSG00000237938.5,34,25,23,7,39,42
ENSG00000162461.8,165,236,206,66,250,263
ENSG00000224459.2,22,18,20,16,23,49
ENSG00000162460.7,105,101,78,41,135,151
ENSG00000162458.13,157,175,138,76,196,287
ENSG00000224321.1,21,14,9,2,19,18
ENSG00000233954.7,82,55,81,19,60,75
ENSG00000178715.8,28,10,0,7,35,0
ENSG00000179743.4,102,84,80,24,106,175
ENSG00000065526.13,1372,794,1010,296,1041,1102
ENSG00000270620.1,8,3,4,2,7,17
ENSG00000116809.12,291,216,280,126,284,443
ENSG00000234607.2,24,21,31,8,38,54
ENSG00000231353.1,13,7,7,1,22,18
ENSG00000275503.1,17,18,29,7,20,36
ENSG00000224966.4,85,104,71,69,124,200
ENSG00000183888.4,68,69,79,40,107,101
ENSG00000233078.1,0,0,0,0,0,0
ENSG00000173641.18,8747,2949,2381,675,1218,2325
ENSG00000186510.12,154,173,129,116,260,411
ENSG00000232456.1,54,63,51,25,67,229
ENSG00000184908.20,249,273,166,146,321,1043
ENSG00000185519.9,93,89,69,70,94,222
ENSG00000142627.13,305,241,287,159,342,539
ENSG00000227959.2,72,75,54,31,94,137
ENSG00000224621.1,22,27,17,14,39,44
ENSG00000234166.1,0,0,0,0,0,0
ENSG00000142632.17,200,213,198,107,277,371
ENSG00000291077.1,31,28,25,17,30,46
ENSG00000237276.10,104,98,101,56,181,214
ENSG00000288398.1,87,75,83,41,106,137
ENSG00000132881.12,105,93,74,41,111,171
ENSG00000233929.1,12,10,7,2,6,14
ENSG00000037637.11,379,261,352,121,299,432
ENSG00000055070.17,394,321,436,104,319,415
ENSG00000226457.1,17,6,23,3,14,26
ENSG00000187144.11,238,195,173,96,220,345
ENSG00000157191.20,142,142,127,64,141,215
ENSG00000226029.1,69,42,55,30,77,74
ENSG00000290842.1,91,72,93,45,81,142
ENSG00000080947.16,39,39,40,14,36,53
ENSG00000206652.1,5,8,16,6,15,21
ENSG00000261135.1,6,7,3,2,6,5
ENSG00000285853.1,16,6,10,6,20,27
ENSG00000224174.2,0,0,1,2,0,1
ENSG00000233421.5,93,61,76,51,94,152
ENSG00000277344.1,0,1,0,0,0,1
ENSG00000225710.1,28,33,11,7,40,30
ENSG00000219481.11,415,501,412,237,457,857
ENSG00000271732.1,49,24,27,12,21,52
ENSG00000291072.1,249,277,176,137,252,505
ENSG00000215908.12,245,218,166,155,228,431
ENSG00000283773.1,0,0,0,0,0,0
ENSG00000186301.8,248,428,158,186,439,507
ENSG00000282143.1,12,1,7,1,10,8
ENSG00000207513.1,0,0,2,1,4,3
ENSG00000280114.1,45,17,38,15,45,51
ENSG00000236698.1,46,34,47,9,25,41
ENSG00000290849.1,24,16,20,12,4,28
ENSG00000268869.7,221,194,223,111,192,401
ENSG00000279151.1,11,15,15,10,2,19
ENSG00000282740.1,14,6,6,3,13,17
ENSG00000058453.17,863,556,849,384,984,1372
ENSG00000290850.1,0,1,0,0,0,0
